Initial Error,Nov 2014 Impl Final Error,Initial Error,Menpo Master Final Error ,Final Error Difference
0.109661101,0.027272146,0.109661101,0.027272103,0.0000
0.079451594,0.03078544,0.079451594,0.030785267,0.0000
0.098927464,0.026186379,0.098927464,0.026186407,0.0000
0.078457838,0.020054066,0.078457838,0.020052313,0.0000
0.088196588,0.037610466,0.088196588,0.037610449,0.0000
0.105069088,0.065767446,0.105069088,0.065765411,0.0000
0.136210374,0.016589353,0.136210374,0.016589374,0.0000
0.109223831,0.031893468,0.109223831,0.031893479,0.0000
0.091590927,0.021664261,0.091590927,0.021664294,0.0000
0.080330627,0.020120465,0.080330627,0.020120418,0.0000
0.138272934,0.056365611,0.138272934,0.056365568,0.0000
0.095633284,0.021641259,0.095633284,0.021641267,0.0000
0.084636443,0.024343063,0.084636443,0.024342959,0.0000
0.075301086,0.046682469,0.075301086,0.04668258,0.0000
0.139441898,0.026092559,0.139441898,0.026092699,0.0000
0.092164549,0.021417972,0.092164549,0.021418014,0.0000
0.072920399,0.02041285,0.072920399,0.020412748,0.0000
0.050077493,0.01826191,0.050077493,0.018261988,0.0000
0.139185455,0.016488943,0.139185455,0.01648896,0.0000
0.074015677,0.015857609,0.074015677,0.015858017,0.0000
0.065605927,0.026030813,0.065605927,0.026030785,0.0000
0.073104103,0.021588409,0.073104103,0.02158806,0.0000
0.102523562,0.036411207,0.102523562,0.036411373,0.0000
0.047219963,0.02302578,0.047219963,0.023025373,0.0000
0.121288413,0.022726653,0.121288413,0.022726822,0.0000
0.098641329,0.0225869,0.098641329,0.022586734,0.0000
0.05165015,0.029597561,0.05165015,0.02959761,0.0000
0.084540017,0.019304,0.084540017,0.019303986,0.0000
0.053330859,0.021185609,0.053330859,0.021185545,0.0000
0.092661309,0.02309743,0.092661309,0.023085952,0.0000
0.046357687,0.019105421,0.046357687,0.019105334,0.0000
0.061625037,0.032610765,0.061625037,0.032610671,0.0000
0.098426517,0.034251969,0.098426517,0.034251729,0.0000
0.170903403,0.092453546,0.170903403,0.092453828,0.0000
0.072990724,0.022643725,0.072990724,0.022638723,0.0000
0.073321882,0.021985755,0.073321882,0.021985769,0.0000
0.084757541,0.021645772,0.084757541,0.021645845,0.0000
0.078913247,0.034587678,0.078913247,0.034587902,0.0000
0.080002508,0.022710229,0.080002508,0.022710422,0.0000
0.195473114,0.025609204,0.195473114,0.025609138,0.0000
0.08993456,0.034901057,0.08993456,0.034901808,0.0000
0.063939465,0.034819681,0.063939465,0.034819021,0.0000
0.073709749,0.037463112,0.073709749,0.037440988,0.0000
0.075137617,0.021908365,0.075137617,0.021908357,0.0000
0.080428085,0.04093218,0.080428085,0.040932095,0.0000
0.131478425,0.049845397,0.131478425,0.049845426,0.0000
0.142563416,0.022082771,0.142563416,0.02208289,0.0000
0.030208392,0.014969402,0.030208392,0.014969409,0.0000
0.096813723,0.012930703,0.096813723,0.012930529,0.0000
0.121604444,0.01687016,0.121604444,0.016870048,0.0000
0.06032193,0.018237827,0.06032193,0.018237884,0.0000
